InvNo	Date	Ord	Amount	TaxRate	TAmount	CreatedBy	EnteredOn	Name	CityName	Days	Pnumber	Fax	URL	Line1	Line2	CreatedOn
16EF627E-CA06-45E1-AC95-C9163030B41A	2023-11-01 16:13:01.2000000	CEA9148B-85EB-4BBB-874C-7E94447A590C	22481.46	0	0.00	System Generated	2023-11-01 16:13:01.2000000	"Wingtip Toys (Connoquenessing, PA)"	Kamareddy	12	(215) 555-0100	(215) 555-0101	http://www.wingtiptoys.com/Connoquenessing	Suite 199	854 Kotadia Crescent	2023-11-01 16:13:01.2000000
71785BA0-0345-469D-BE93-4AB70ACADC44	2022-11-25 11:13:16.1866667	BD5F74A0-2018-4F61-A11F-94CD26937AFD	12460.79	5	623.04	System Generated	2022-11-25 11:13:16.1866667	Bimla Prabhupāda	Nanjikottai	14	(209) 555-0100	(209) 555-0101	http://www.microsoft.com/BimlaPrabhupāda/	Shop 7	138 Jandhyala Lane	2022-11-25 11:13:16.1866667
B6B5AD36-2EDF-4BC7-BFFC-C85BC442DC48	2024-01-11 20:33:02.2000000	406ECBA5-E00F-4C76-91E2-7889DEACBD18	17693.70	9	1592.43	System Generated	2024-01-11 20:33:02.2000000	"Wingtip Toys (Compass Lake, FL)"	Adityapur	8	(239) 555-0100	(239) 555-0101	http://www.wingtiptoys.com/CompassLake	Suite 150	1050 Tu Boulevard	2024-01-11 20:33:02.2000000
CD0E1F8A-D2F4-4AB4-B4ED-493CB7BE54DC	2024-02-01 22:09:02.6366667	594CC55D-4944-4E55-A568-A8A7E220C31F	19976.02	3	599.28	System Generated	2024-02-01 22:09:02.6366667	Drazenka Jelic	Wai	5	(803) 555-0100	(803) 555-0101	http://www.microsoft.com/DrazenkaJelic/	Unit 23	1577 Lam Lane	2024-02-01 22:09:02.6366667
08036700-7B0C-4C7A-A371-19BAEBBDFD87	2022-11-28 11:49:16.6400000	CCAE85B9-77AA-4D44-9FDA-4EB15CE5003F	10833.32	3	325.00	System Generated	2022-11-28 11:49:16.6400000	Devraj Rao	Narasapuram	12	(385) 555-0100	(385) 555-0101	http://www.microsoft.com/DevrajRao/	Unit 12	611 Shasthri Avenue	2022-11-28 11:49:16.6400000
592F9A00-35E7-4896-9D6B-2527E6DFAB0C	2023-02-20 10:40:19.6300000	F35DC989-B7AA-4ECD-BE6E-070981B63C13	10596.07	7	741.72	System Generated	2023-02-20 10:40:19.6300000	"Tailspin Toys (Crary, ND)"	Valsad	5	(701) 555-0100	(701) 555-0101	http://www.tailspintoys.com/Crary	Suite 181	522 Longo Lane	2023-02-20 10:40:19.6300000
67DE249A-FCE3-4A6A-83BD-885431165988	2022-10-26 16:36:14.9000000	36137EBB-CE72-43BE-B52A-A9843D8CA765	16809.72	8	1344.78	System Generated	2022-10-26 16:36:14.9000000	Jitka Necesana	Sagar	8	(212) 555-0100	(212) 555-0101	http://www.microsoft.com/JitkaNecesana/	Suite 10	1511 Ilic Boulevard	2022-10-26 16:36:14.9000000
DC4F020B-7E5B-451A-BCAF-02BE8FC5FD7F	2023-12-18 20:01:01.9000000	A1F6F2BF-0C5A-4971-814E-5574BF73A5C8	17182.70	4	687.31	System Generated	2023-12-18 20:01:01.9000000	"Wingtip Toys (Lynne, FL)"	Dhule	8	(239) 555-0100	(239) 555-0101	http://www.wingtiptoys.com/Lynne	Shop 204	167 Kubatova Lane	2023-12-18 20:01:01.9000000
53609DFA-C505-46BD-8E53-D46623F057AA	2022-12-14 18:38:18.2633333	36607B50-FA7D-403A-8402-31D165B7C9B3	11695.10	2	233.90	System Generated	2022-12-14 18:38:18.2633333	Serdar ozden	Anakapalle	6	(319) 555-0100	(319) 555-0101	http://www.microsoft.com/	Shop 16	1045 Margherita Lane	2022-12-14 18:38:18.2633333
0E8FD2E9-A7C6-49F8-8BE1-C81489D2A5A5	2023-03-14 10:08:22.2933333	4CD6B2ED-31EF-47DE-94B2-1BB06B01B226	13039.08	1	130.39	System Generated	2023-03-14 10:08:22.2933333	"Wingtip Toys (Grabill, IN)"	Bhopal	14	(219) 555-0100	(219) 555-0101	http://www.wingtiptoys.com/Grabill	Suite 187	1015 Chowdary Boulevard	2023-03-14 10:08:22.2933333
9EC02CBC-1843-4124-A19D-23285319AC68	2023-02-16 17:40:20.2900000	C2AD288C-150E-41E6-B777-6B0CB2C83B0E	13579.45	0	0.00	System Generated	2023-02-16 17:40:20.2900000	"Wingtip Toys (Cavendish, VT)"	Powayan	9	(802) 555-0100	(802) 555-0101	http://www.wingtiptoys.com/Cavendish	Shop 295	62 Berggren Road	2023-02-16 17:40:20.2900000
C4D1D68F-5808-450C-B6AA-A3E317EAF0AD	2024-02-10 14:11:10.2833333	2F254E18-BF35-4D3B-8939-5682EA495248	24064.82	7	1684.54	System Generated	2024-02-10 14:11:10.2833333	Cong Hoa	Gooty	9	(212) 555-0100	(212) 555-0101	http://www.microsoft.com/CongHoa/	Unit 21	580 Poddar Lane	2024-02-10 14:11:10.2833333
B3433172-B057-4284-8E35-50048A82DF67	2023-11-18 13:16:23.6433333	BD962E35-C6F6-4BC5-9521-454F66C351CB	18042.32	11	1984.66	System Generated	2023-11-18 13:16:23.6433333	Alinne Matos	Monoharpur	14	(229) 555-0100	(229) 555-0101	http://www.microsoft.com/AlinneMatos/	Suite 6	244 Lieu Crescent	2023-11-18 13:16:23.6433333
8EF06DFC-771C-4CD4-8B43-E60DFE4329A8	2022-10-29 18:28:15.8166667	A876F95F-7FE6-4EC6-B9BF-DC223A98087A	21391.89	2	427.84	System Generated	2022-10-29 18:28:15.8166667	Volkan senturk	Shahade	12	(276) 555-0100	(276) 555-0101	http://www.microsoft.com/Volkansenturk/	Suite 27	283 Berzins Avenue	2022-10-29 18:28:15.8166667
DE97CBB6-F584-4A4A-B867-5890F7CD595A	2024-01-03 17:01:02.2633333	9F927921-2020-4502-8FF8-0A21BCDBB561	11483.71	8	918.70	System Generated	2024-01-03 17:01:02.2633333	"Wingtip Toys (Mickleton, NJ)"	Nilambur	7	(201) 555-0100	(201) 555-0101	http://www.wingtiptoys.com/Mickleton	Unit 107	1679 Modi Lane	2024-01-03 17:01:02.2633333
434CFD2A-36F4-43B0-8D18-F06FBD0C72DA	2024-02-06 18:06:01.6100000	D9A46E86-797E-4ADD-A830-952C66318DFF	12053.15	2	241.06	System Generated	2024-02-06 18:06:01.6100000	"Wingtip Toys (Tea, SD)"	Maihar	11	(605) 555-0100	(605) 555-0101	http://www.wingtiptoys.com/Tea	Shop 228	1362 Chu Crescent	2024-02-06 18:06:01.6100000
81D556D3-96F0-4CFD-AA7F-206FCE61DBA6	2023-12-20 18:42:01.3600000	6D64405F-36EC-4360-B3DB-70C716958E01	24612.64	4	984.51	System Generated	2023-12-20 18:42:01.3600000	Prasad Raju	Manasa	7	(205) 555-0100	(205) 555-0101	http://www.microsoft.com/	Unit 15	1562 Durdanah Road	2023-12-20 18:42:01.3600000
B6C9C0F8-DE57-43BB-9489-811E6C0329EF	2023-04-18 12:02:29.5300000	28FD444E-2985-4A2D-829C-16050DA5D868	13508.39	6	810.50	System Generated	2023-04-18 12:02:29.5300000	Ron Williams	Nidadavole	6	(217) 555-0100	(217) 555-0101	http://www.microsoft.com/	Shop 13	1212 Bhavani Street	2023-04-18 12:02:29.5300000
5D45F426-33E3-4961-8909-39F764819EEC	2023-05-03 20:08:02.4000000	5F546838-FE1F-442B-BE9F-A531E90FE8D8	18376.57	6	1102.59	System Generated	2023-05-03 20:08:02.4000000	Jaroslav Fisar	Kavali	13	(215) 555-0100	(215) 555-0101	http://www.microsoft.com/	Suite 30	1999 Ethan Road	2023-05-03 20:08:02.4000000
926D2DAA-5D78-4A76-89D6-34B1BCB7F122	2023-01-25 11:08:18.6400000	33EDB775-343A-482C-880A-91DEC45AEB0F	20932.98	5	1046.65	System Generated	2023-01-25 11:08:18.6400000	"Wingtip Toys (Coker, AL)"	Panniyannur	6	(205) 555-0100	(205) 555-0101	http://www.wingtiptoys.com/Coker	Shop 23	1813 Koppel Crescent	2023-01-25 11:08:18.6400000
1BAD38D2-1E92-42F3-88FD-A1FFA0CC420E	2023-11-01 18:10:01.2000000	C8E0BEB4-FBA7-4DFE-9F1D-7EE614CAD58F	23008.30	4	920.33	System Generated	2023-11-01 18:10:01.2000000	"Tailspin Toys (Good Hart, MI)"	Samthar	7	(231) 555-0100	(231) 555-0101	http://www.tailspintoys.com/GoodHart	Shop 80	2001 Rajanala Road	2023-11-01 18:10:01.2000000
6C43DE58-52BB-4535-B893-16D37C87D69D	2023-03-29 12:55:23.0466667	F3741883-D672-4646-BA98-018A5BD3443B	22015.98	8	1761.28	System Generated	2023-03-29 12:55:23.0466667	Farzana Habibi	Rishikesh	8	(219) 555-0100	(219) 555-0101	http://www.microsoft.com/	Suite 12	430 Mina Street	2023-03-29 12:55:23.0466667
95D6A0B5-CA12-414E-B66E-4028D7A92C36	2023-01-27 12:06:21.6000000	178E9949-478E-431F-AE89-17F8EF3C37A4	19913.51	8	1593.08	System Generated	2023-01-27 12:06:21.6000000	Inna Kask	Revelganj	13	(406) 555-0100	(406) 555-0101	http://www.microsoft.com/	Unit 29	1206 Dana Avenue	2023-01-27 12:06:21.6000000
141B1F37-CC51-4313-9820-CDEABA54FA61	2023-02-19 12:58:19.3100000	9EE79EAA-5E3A-41CD-991D-7840A7B629E7	23596.80	11	2595.65	System Generated	2023-02-19 12:58:19.3100000	"Tailspin Toys (Lake Hughes, CA)"	Mangalvedhe	10	(209) 555-0100	(209) 555-0101	http://www.tailspintoys.com/LakeHughes	Unit 91	1371 Saarijarvi Avenue	2023-02-19 12:58:19.3100000
DEA6A09A-C190-4FC1-BA2C-BB6E95E9FDC3	2023-11-27 17:31:32.2200000	A15A199D-0FEB-493C-B8D6-510EAC2BB43B	15177.11	2	303.54	System Generated	2023-11-27 17:31:32.2200000	"Wingtip Toys (Haycock, AK)"	Ratnagiri	6	(907) 555-0100	(907) 555-0101	http://www.wingtiptoys.com/Haycock	Suite 183	796 Zvaigzne Boulevard	2023-11-27 17:31:32.2200000
BC751770-AE2F-4E98-8977-58465BB02646	2024-02-28 20:42:02.6400000	FFDE2C33-1E77-4367-99D7-ADA9319E879D	24974.75	10	2497.48	System Generated	2024-02-28 20:42:02.6400000	"Tailspin Toys (Kwethluk, AK)"	Machilipatnam	10	(907) 555-0100	(907) 555-0101	http://www.tailspintoys.com/Kwethluk	Shop 162	486 Spirlea Avenue	2024-02-28 20:42:02.6400000
570D62FA-C377-4EC3-B79E-F4EEA125A372	2022-12-24 11:11:17.2566667	54EB8B2D-D3B7-4EE3-9C4F-5BAE0FA1895A	20375.67	3	611.27	System Generated	2022-12-24 11:11:17.2566667	Damodara Trivedi	Utraula	7	(210) 555-0100	(210) 555-0101	http://www.microsoft.com/	Shop 23	682 Shantanu Boulevard	2022-12-24 11:11:17.2566667
C4EA708F-3E73-44D2-9E23-0B2F700146B9	2022-12-30 13:23:17.7300000	4622A116-BDE3-4C01-AB2C-446293529017	18815.25	5	940.76	System Generated	2022-12-30 13:23:17.7300000	"Wingtip Toys (Rose Tree, PA)"	Phillaur	6	(215) 555-0100	(215) 555-0101	http://www.wingtiptoys.com/RoseTree	Unit 212	1837 Vasiljevic Boulevard	2022-12-30 13:23:17.7300000
6545D4D8-89C9-4C86-B7C9-DBF8FAC235C3	2022-12-02 13:19:18.2133333	E968F7C4-EF58-4ED2-9AF6-9E74599D9C42	14262.66	11	1568.89	System Generated	2022-12-02 13:19:18.2133333	"Wingtip Toys (Highland Home, AL)"	Hugli-Chinsurah	12	(205) 555-0100	(205) 555-0101	http://www.wingtiptoys.com/HighlandHome	Unit 17	1985 Flamand Lane	2022-12-02 13:19:18.2133333
9BF2B98F-2769-4827-9D99-A66111F6BE39	2023-05-02 19:36:58.3133333	D0C7E291-6A6D-4466-8DD4-A2C99CCC7970	11519.68	8	921.57	System Generated	2023-05-02 19:36:58.3133333	"Wingtip Toys (Vair, TX)"	Arvi	5	(210) 555-0100	(210) 555-0101	http://www.wingtiptoys.com/Vair	Shop 59	75 Chang Crescent	2023-05-02 19:36:58.3133333
25CE03F5-4529-42E1-8400-FF07DDF7FC23	2023-05-01 11:44:31.4233333	5CC51467-8666-4DA3-94F4-934057322617	17583.44	6	1055.01	System Generated	2023-05-01 11:44:31.4233333	"Tailspin Toys (Batson, TX)"	Nandurbar	14	(210) 555-0100	(210) 555-0101	http://www.tailspintoys.com/Batson	Shop 124	671 Mudigonda Boulevard	2023-05-01 11:44:31.4233333
35D8FC55-AC1F-40D1-9272-CC25E8BDADD7	2022-12-07 15:26:17.8233333	C10963DD-A318-4645-B81E-0466BCD74FAC	22339.33	11	2457.33	System Generated	2022-12-07 15:26:17.8233333	"Tailspin Toys (Upper Preston, WA)"	Yawal	10	(206) 555-0100	(206) 555-0101	http://www.tailspintoys.com/UpperPreston	Suite 105	980 Preda Crescent	2022-12-07 15:26:17.8233333
06D15597-E7B0-40E1-B4EC-B002AEDF2722	2023-12-14 19:03:02.2566667	B3070A89-409F-4E72-ADB4-3704E51E37F9	21493.97	2	429.88	System Generated	2023-12-14 19:03:02.2566667	"Wingtip Toys (Palmas del Mar, PR)"	Warud	5	(787) 555-0100	(787) 555-0101	http://www.wingtiptoys.com/PalmasdelMar	Suite 72	148 Chávez Street	2023-12-14 19:03:02.2566667
0CCABF34-8B93-4A66-8077-EFE7EDADE2B4	2022-12-23 08:52:17.1500000	BC36D51E-C080-4E58-BB3D-7A4F4DEE9157	17136.72	7	1199.57	System Generated	2022-12-23 08:52:17.1500000	Isidora Urias	Panaji	11	(239) 555-0100	(239) 555-0101	http://www.microsoft.com/IsidoraUrias/	Suite 16	900 Cu Avenue	2022-12-23 08:52:17.1500000
A3384930-DCEE-4E04-A01A-0123C0FA9E2C	2023-04-07 10:03:25.2966667	E5F77E0F-83F5-46E9-99A3-62F82E0B5209	10641.65	0	0.00	System Generated	2023-04-07 10:03:25.2966667	David safranek	Vaikom	10	(215) 555-0100	(215) 555-0101	http://www.microsoft.com/Davidsafranek/	Shop 7	974 Mazzanti Avenue	2023-04-07 10:03:25.2966667
74E911E0-2151-481F-8AFA-592287C63BA4	2022-12-31 09:37:17.9933333	F80C96BC-0652-4FF7-932E-6135C126B651	12322.58	5	616.13	System Generated	2022-12-31 09:37:17.9933333	"Tailspin Toys (El Centro, CA)"	Sindagi	14	(209) 555-0100	(209) 555-0101	http://www.tailspintoys.com/ElCentro	Unit 30	1437 Ahmadian Avenue	2022-12-31 09:37:17.9933333
FC2769B4-E53F-4FA2-BE07-41FC3F752C7D	2023-03-02 12:55:21.4566667	D2459236-5C71-4DA7-A3B6-14A37DFB6ADE	24149.75	9	2173.48	System Generated	2023-03-02 12:55:21.4566667	"Tailspin Toys (East Dailey, WV)"	Sahawar	7	(304) 555-0100	(304) 555-0101	http://www.tailspintoys.com/EastDailey	Unit 188	838 Lucescu Street	2023-03-02 12:55:21.4566667
292099E2-2DF6-4DDE-9EA5-4808473B3E4E	2023-03-22 09:09:22.2900000	C18DA7B5-B87F-4942-89E8-ADFC10D64B64	24316.40	7	1702.15	System Generated	2023-03-22 09:09:22.2900000	"Wingtip Toys (Flomaton, AL)"	Mathabhanga	5	(205) 555-0100	(205) 555-0101	http://www.wingtiptoys.com/Flomaton	Suite 168	145 Weitzer Boulevard	2023-03-22 09:09:22.2900000
0CD065C3-4A43-40FC-BF45-0CC3260D8258	2023-01-27 14:31:21.9700000	99638CD5-BB44-4CB8-9583-BB024B61EB5C	18023.29	5	901.16	System Generated	2023-01-27 14:31:21.9700000	"Wingtip Toys (Asher, OK)"	Fatehpur Sikri	12	(405) 555-0100	(405) 555-0101	http://www.wingtiptoys.com/Asher	Suite 121	1277 Almeida Street	2023-01-27 14:31:21.9700000
34D7FB3B-D61E-4B09-B6C5-780F04D3A2DC	2022-12-07 10:06:17.9266667	C00C3EF2-2E52-4F1E-A494-32D3FDE189F5	18785.58	5	939.28	System Generated	2022-12-07 10:06:17.9266667	"Wingtip Toys (Lexington Heights, MI)"	Raghunathpur	5	(231) 555-0100	(231) 555-0101	http://www.wingtiptoys.com/LexingtonHeights	Shop 234	390 Korjus Road	2022-12-07 10:06:17.9266667
9890FB27-ABA4-4989-B0F0-6D6271B8E4A7	2023-11-06 19:41:02.1966667	8F396AD3-E109-4956-A995-9E01348C01DC	22126.26	5	1106.31	System Generated	2023-11-06 19:41:02.1966667	Ana Florea	Srisailam Project (Right Flank Colony) Township	14	(210) 555-0100	(210) 555-0101	http://www.microsoft.com/AnaFlorea/	Shop 3	1898 Pokorna Boulevard	2023-11-06 19:41:02.1966667
A9ADA58B-4F70-4F07-AD1D-A89C72634B50	2023-01-17 15:39:18.8533333	D1CFFF57-1248-4601-BF32-44008058F453	12899.01	1	128.99	System Generated	2023-01-17 15:39:18.8533333	Stefan Selezeanu	Uravakonda	7	(212) 555-0100	(212) 555-0101	http://www.microsoft.com/	Unit 2	1683 Zala Avenue	2023-01-17 15:39:18.8533333
09E8A53F-29EB-4FF1-B844-F58EB526317B	2022-12-09 13:51:18.9933333	38E40199-95ED-4189-AA90-6BD141BC35BD	11588.14	9	1042.93	System Generated	2022-12-09 13:51:18.9933333	Gasper Havzija	Jhargram	5	(314) 555-0100	(314) 555-0101	http://www.microsoft.com/GasperHavzija/	Suite 31	978 Saowaluk Crescent	2022-12-09 13:51:18.9933333
32B5A82B-DA8A-4C82-8437-47B4FC48DA6E	2022-12-23 10:50:17.1833333	0014DD5F-69C7-4177-A212-A050DA47B41A	18790.57	7	1315.34	System Generated	2022-12-23 10:50:17.1833333	"Wingtip Toys (Herlong, CA)"	Amalapuram	6	(209) 555-0100	(209) 555-0101	http://www.wingtiptoys.com/Herlong	Suite 127	1386 Lucescu Lane	2022-12-23 10:50:17.1833333
1F54CD09-1A02-498E-94B6-3D3918A091A9	2023-03-05 16:17:22.0000000	79FADAD3-4127-4D85-9AC1-6CA65AC24FF5	17635.00	6	1058.10	System Generated	2023-03-05 16:17:22.0000000	Alvin Bollinger	Sahaspur	8	(270) 555-0100	(270) 555-0101	http://www.microsoft.com/AlvinBollinger/	Suite 31	1091 KlanCisar Crescent	2023-03-05 16:17:22.0000000
492AE13A-6AFA-44FD-B180-1854B9075BCF	2022-10-28 08:43:14.8200000	9A588D46-325F-4BEE-82A4-DE2AA88E5C7C	17766.17	5	888.31	System Generated	2022-10-28 08:43:14.8200000	Jayanta Thakur	Phaltan	13	(276) 555-0100	(276) 555-0101	http://www.microsoft.com/JayantaThakur/	Suite 17	279 Nakhtare Boulevard	2022-10-28 08:43:14.8200000
2E4FA6F6-CF08-4FA9-B0AB-BD4CD1FDFF8E	2024-02-10 18:51:10.2633333	9A4B87FB-64ED-4DC0-AE2F-42741D8D13DB	24347.95	1	243.48	System Generated	2024-02-10 18:51:10.2633333	Anna Mazzanti	Allahabad	13	(314) 555-0100	(314) 555-0101	http://www.microsoft.com/AnnaMazzanti/	Shop 31	1552 Johansson Lane	2024-02-10 18:51:10.2633333
92CB4D44-C9A8-4F04-96B3-DE6D58BC3CFA	2023-04-01 12:51:25.0866667	44A5312B-1B98-48AD-9C2F-2B05E75664A3	21694.62	11	2386.41	System Generated	2023-04-01 12:51:25.0866667	Yves Belisle	Modasa	9	(480) 555-0100	(480) 555-0101	http://www.microsoft.com/YvesBelisle/	Unit 22	1530 Ngo Boulevard	2023-04-01 12:51:25.0866667
226EABB2-B232-4E8A-960C-FF07736AD838	2023-02-16 14:35:20.3300000	C9DDD01B-C1BB-46F6-910F-705F5B494E3E	18236.08	7	1276.53	System Generated	2023-02-16 14:35:20.3300000	"Tailspin Toys (Nanafalia, AL)"	Yevla	6	(205) 555-0100	(205) 555-0101	http://www.tailspintoys.com/Nanafalia	Suite 217	1729 Dey Road	2023-02-16 14:35:20.3300000
B6A7E2A5-92A5-4A7B-A0E0-38133CC8A711	2023-02-28 16:31:25.0033333	1E9D74CA-A59F-4E7E-AF06-70C60394077C	12423.20	4	496.93	System Generated	2023-02-28 16:31:25.0033333	Daakshaayaani Sankaramanchi	Nokha	10	(319) 555-0100	(319) 555-0101	http://www.microsoft.com/DaakshaayaaniSankaramanchi/	Unit 12	1529 Gupta Lane	2023-02-28 16:31:25.0033333
054D914E-4AC7-49AD-A204-570E2E998CFF	2024-02-17 15:54:34.0700000	FB315F91-B6FA-49AC-B459-B1DECC9890F3	18520.25	8	1481.62	System Generated	2024-02-17 15:54:34.0700000	Eva Schulteisz	Ramgarh	5	(252) 555-0100	(252) 555-0101	http://www.microsoft.com/EvaSchulteisz/	Shop 11	1783 Escobar Crescent	2024-02-17 15:54:34.0700000
17D1F993-5F96-42B1-8B6A-4C9F54F5DE02	2022-11-27 17:39:16.6133333	A2966420-E971-4BB7-8FF7-0F266631D0B3	15384.71	7	1076.93	System Generated	2022-11-27 17:39:16.6133333	Bhagavateeprasaad Malladi	Margherita	8	(479) 555-0100	(479) 555-0101	http://www.microsoft.com/	Shop 18	1386 Elnaz Avenue	2022-11-27 17:39:16.6133333
BCCDFF15-89D7-4A35-95FD-4635D7CD264E	2023-01-15 15:04:19.2100000	0C83B74D-0797-4AE7-974D-A0F359CABA4B	10164.28	10	1016.43	System Generated	2023-01-15 15:04:19.2100000	"Tailspin Toys (Lytle Creek, CA)"	Nelamangala	5	(209) 555-0100	(209) 555-0101	http://www.tailspintoys.com/LytleCreek	Unit 134	1204 Grgic Lane	2023-01-15 15:04:19.2100000
85B3D708-2ED2-4D29-9BC8-8B6F9A82FA26	2023-05-17 15:09:02.8333333	6F3C8E8C-127A-4FFB-9558-9812F326EACF	20273.77	0	0.00	System Generated	2023-05-17 15:09:02.8333333	"Tailspin Toys (Mineral Hills, MI)"	Raipur	11	(231) 555-0100	(231) 555-0101	http://www.tailspintoys.com/MineralHills	Unit 38	1421 Radoncis Road	2023-05-17 15:09:02.8333333
3D13B270-3F3D-4AA4-BDAA-640F2B98AD7F	2022-10-19 17:13:11.1233333	805AE6B1-0396-44D1-8902-A882BD072F9A	19246.26	4	769.85	System Generated	2022-10-19 17:13:11.1233333	"Wingtip Toys (Lytle, TX)"	Kapadvanj	9	(210) 555-0100	(210) 555-0101	http://www.wingtiptoys.com/Lytle	Unit 95	882 Bhuiyan Crescent	2022-10-19 17:13:11.1233333
D307BB39-5271-44ED-A2FA-6FBD04039085	2023-12-09 22:06:42.6866667	686B6EAF-D0D7-4E2A-BD23-18A8EE28E7F6	17542.00	3	526.26	System Generated	2023-12-09 22:06:42.6866667	"Tailspin Toys (Manchester Center, VT)"	Samalkha	12	(802) 555-0100	(802) 555-0101	http://www.tailspintoys.com/ManchesterCenter	Shop 264	611 Todorovic Avenue	2023-12-09 22:06:42.6866667
69749248-43A4-4FC8-B867-DA28FD3A4810	2022-11-26 14:38:16.9833333	EC00FF30-DB3B-4966-9468-94CF366CB5B4	12265.75	11	1349.23	System Generated	2022-11-26 14:38:16.9833333	"Tailspin Toys (Alstead, NH)"	Jodhpur	9	(603) 555-0100	(603) 555-0101	http://www.tailspintoys.com/Alstead	Suite 50	520 Walkky Boulevard	2022-11-26 14:38:16.9833333
9CB32A81-16CF-4607-9E04-B277AC7DA0DD	2023-02-02 08:43:19.9000000	52A63CCD-4E54-4CD3-980B-AA63BD1D9C47	12008.21	9	1080.74	System Generated	2023-02-02 08:43:19.9000000	Roko Ilic	Nimbahera	13	(262) 555-0100	(262) 555-0101	http://www.microsoft.com/RokoIlic/	Unit 17	1653 Huq Crescent	2023-02-02 08:43:19.9000000
