ShipmentNo	Ord	ShipmentDate	Amount	ExpectedDeliveryDays	CreatedBy	VehicleNo	EnteredOn	Name	Pnumber	Line1	Line2
1E74C248-48E2-486D-9ABB-3121DA675275	483388E5-4746-42F7-BF6C-8DA339BD1060	2022-10-20 18:09:11.8700000	15823.28	NULL	System Generated	BAD-0049	2022-10-20 18:09:11.8700000	"Tailspin Toys (Upper Preston, WA)"	(206) 555-0100	Suite 105	980 Preda Crescent
17FB3DED-6007-4D7D-9DB6-31F877C81583	FC4A4238-AD4E-4568-9D14-105DF582184F	2022-10-14 12:25:25.5900000	23732.93	NULL	System Generated	ADB-0002	2022-10-14 12:25:25.5900000	"Tailspin Toys (Amanda Park, WA)"	(206) 555-0100	Unit 117	254 Celmina Street
C6255AFE-4A8D-4D72-8134-339DEF4B6F8D	061498AE-1BE5-483D-B533-9448BCD52A8A	2022-10-20 18:11:11.8866667	14275.53	NULL	System Generated	BDD-0055	2022-10-20 18:11:11.8866667	"Tailspin Toys (Severna Park, MD)"	(240) 555-0100	Shop 214	384 Ang Road
775B793B-6EC2-49B5-BE70-33CE8E1A0598	05395152-D371-4990-88EA-9578272F3A94	2022-10-17 19:57:11.1733333	14506.32	NULL	System Generated	CDB-0037	2022-10-17 19:57:11.1733333	"Tailspin Toys (Jemison, AL)"	(205) 555-0100	Suite 31	589 Sagese Lane
818A6FC2-F52E-41A9-AA61-33E07C553D6D	6874A026-25BC-47C4-978F-ED6EA20AFC59	2022-10-25 17:17:12.6733333	20629.68	NULL	System Generated	DCD-0089	2022-10-25 17:17:12.6733333	"Tailspin Toys (Lake Hughes, CA)"	(209) 555-0100	Unit 91	1371 Saarijarvi Avenue
1252BCE5-CEA8-4128-BAE9-35671D092D91	5E7A4C3F-ED81-4506-AEE4-DBCE1AE66BED	2022-10-24 12:15:12.0900000	23625.85	NULL	System Generated	DCD-0050	2022-10-24 12:15:12.0900000	"Tailspin Toys (Trentwood, WA)"	(206) 555-0100	Shop 40	197 Jaramillo Street
8CDA6C5E-8B98-44E5-BB57-364421702AA5	1259758B-E8D3-4932-ACBE-0A2B95F788E3	2022-10-13 17:38:24.6266667	17669.85	NULL	System Generated	CBE-0092	2022-10-13 17:38:24.6266667	"Tailspin Toys (Muir, MI)"	(231) 555-0100	Shop 37	1148 Khalsa Boulevard
4F8803FF-3E1B-49C2-A24B-399D4C56D580	C3DCBDCB-E010-45DB-8463-6EFCAE85B0C9	2022-10-18 17:49:10.5566667	21292.86	NULL	System Generated	ACD-0084	2022-10-18 17:49:10.5566667	"Tailspin Toys (Hambleton, WV)"	(304) 555-0100	Unit 257	1715 Samaniego Street
C7A8BB4F-DFD5-4B36-85C5-3A9B1705C65B	F3E1C10B-EC19-40CE-BFF9-83C6D21DBDD4	2022-10-28 16:46:14.4633333	19773.58	NULL	System Generated	BDB-0064	2022-10-28 16:46:14.4633333	"Tailspin Toys (Imlaystown, NJ)"	(201) 555-0100	Suite 12	1305 Kaleja Street
B2847D60-8229-4DDF-BA05-3D998677B25C	1526CCA9-18BC-4474-AD16-0EA87C3EA243	2022-10-14 10:46:25.5800000	14059.99	NULL	System Generated	DEB-0019	2022-10-14 10:46:25.5800000	"Tailspin Toys (Idria, CA)"	(209) 555-0100	Shop 99	1189 Malakar Road
0754D526-9FCB-4F08-979A-3F56AEDEF0A3	F0247165-1C81-429F-8C9E-DF94BDCEAB56	2022-10-25 10:39:12.5666667	15069.29	NULL	System Generated	BED-0069	2022-10-25 10:39:12.5666667	"Tailspin Toys (Nanafalia, AL)"	(205) 555-0100	Suite 217	1729 Dey Road
79DBA5BB-CB9D-4031-BB41-3FC191F7FA31	9A588D46-325F-4BEE-82A4-DE2AA88E5C7C	2022-10-25 11:57:12.5500000	24160.52	NULL	System Generated	BBB-0088	2022-10-25 11:57:12.5500000	"Tailspin Toys (Railroad, PA)"	(215) 555-0100	Suite 158	1032 Duperre Street
9EDB16C6-7A77-4F46-8619-4034663F7323	BCFF7BC5-94DD-46E7-B395-E794B40BD614	2022-10-30 09:55:14.2733333	24579.63	NULL	System Generated	DBD-0084	2022-10-30 09:55:14.2733333	"Tailspin Toys (Gum Branch, GA)"	(229) 555-0100	Suite 220	1500 Utjesenovic Lane
1DCA41E6-3DB0-4A25-A1D9-43A26040F995	BD5F74A0-2018-4F61-A11F-94CD26937AFD	2022-10-28 08:52:14.5833333	11944.56	NULL	System Generated	DEC-0065	2022-10-28 08:52:14.5833333	"Tailspin Toys (Royal City, WA)"	(206) 555-0100	Shop 20	1098 Tatarescu Lane
B8FCFAA4-BADD-42B6-8B62-442026BBB1A5	F4DDE3A8-127E-48F9-9409-247640DAADEF	2022-10-28 15:40:14.4266667	19134.41	NULL	System Generated	DCD-0070	2022-10-28 15:40:14.4266667	"Tailspin Toys (Lakemore, OH)"	(216) 555-0100	Unit 136	1331 Dutta Crescent
AB666E04-B2E9-4F4C-9191-4495598621D7	4C392FF5-2E17-46CD-AB7D-53FB81269B8F	2022-10-23 13:53:11.6233333	19949.83	NULL	System Generated	CEA-0083	2022-10-23 13:53:11.6233333	"Tailspin Toys (Mappsburg, VA)"	(276) 555-0100	Shop 177	1736 Han Avenue
101DF709-1231-4DD0-B768-454C0186C140	70BE160D-418F-4B35-A6A9-B7F2E77FF0F5	2022-10-29 15:13:15.6066667	15285.41	NULL	System Generated	DBE-0010	2022-10-29 15:13:15.6066667	"Tailspin Toys (Edgartown, MA)"	(339) 555-0100	Suite 157	659 Hybl Boulevard
9D49E736-5FFB-49AA-BD40-463337A8F490	1BF588F5-E765-44CF-AE28-3D1F7B1B0777	2022-10-29 14:15:15.4500000	20265.26	NULL	System Generated	EBB-0015	2022-10-29 14:15:15.4500000	"Tailspin Toys (East Dailey, WV)"	(304) 555-0100	Unit 188	838 Lucescu Street
EB2D96A8-1710-4382-B18F-46767A66669E	F8552481-8C90-43FB-978E-2F2489B715D0	2022-10-19 13:52:10.6733333	21724.20	NULL	System Generated	BDE-0087	2022-10-19 13:52:10.6733333	"Tailspin Toys (Fairfield Glade, TN)"	(423) 555-0100	Shop 233	1695 Hudecova Avenue
686CA3B1-80DD-49B1-B778-471E15EEA156	3B8476E0-434E-4466-967C-525EB8AF9704	2022-10-16 11:21:26.5100000	11618.92	NULL	System Generated	CAB-0002	2022-10-16 11:21:26.5100000	"Tailspin Toys (Great Neck Estates, NY)"	(212) 555-0100	Shop 263	551 Enestam Crescent
0AE40501-CCCB-45EA-8BE4-47819A0343F3	2A3D5BA9-7CBC-4FD3-99C0-0AF1BB45FF31	2022-10-29 14:20:15.3566667	24508.43	NULL	System Generated	BCE-0030	2022-10-29 14:20:15.3566667	"Tailspin Toys (Stallion Springs, CA)"	(209) 555-0100	Unit 175	1199 Cerkez Street
0DFFF761-DDBF-4432-A051-4886C4A6F882	99447588-ADA1-4B41-8257-3080DE98A831	2022-10-19 09:47:10.6900000	15394.40	NULL	System Generated	BAC-0097	2022-10-19 09:47:10.6900000	"Tailspin Toys (Hodgdon, ME)"	(207) 555-0100	Shop 133	967 Alizadeh Boulevard
E5547E24-FAB9-44C1-AD93-493BF05BB4F0	622553C7-6B42-43E5-B04F-A20E2223C29C	2022-10-17 14:23:11.1966667	15897.00	NULL	System Generated	DEE-0018	2022-10-17 14:23:11.1966667	"Tailspin Toys (North Cowden, TX)"	(210) 555-0100	Suite 18	402 Nan Road
762A4314-63F6-478D-BA5E-4CF67B33F26C	4EF1378A-3F11-4987-BC6A-5AF3E8EC4F10	2022-10-24 12:21:11.8366667	11447.73	NULL	System Generated	DDD-0066	2022-10-24 12:21:11.8366667	"Tailspin Toys (Madaket, MA)"	(339) 555-0100	Suite 2	1052 Hoa Lane
F66BE5BE-EC7C-4BE2-8A4A-4EAEAA68466E	A8BC5F52-074A-4631-A726-F1FF923C79D3	2022-10-25 16:49:12.6900000	16384.13	NULL	System Generated	BCC-0069	2022-10-25 16:49:12.6900000	"Tailspin Toys (Sentinel Butte, ND)"	(701) 555-0100	Unit 18	1240 Utjesenovic Street
666BF33A-4499-40B8-B445-4ECD8FBFD72F	49143D63-35F5-4B2B-AF0A-B297031EC1B3	2022-10-18 10:10:10.6066667	22172.43	NULL	System Generated	BBE-0072	2022-10-18 10:10:10.6066667	"Tailspin Toys (Gardere, LA)"	(225) 555-0100	Unit 72	1195 Rozitis Road
B53924CA-9DDD-419A-B956-54C2216CBC35	6E346627-B77A-4F56-AC16-D939334D0818	2022-10-28 17:48:14.6300000	15980.30	NULL	System Generated	EEB-0016	2022-10-28 17:48:14.6300000	"Tailspin Toys (Lytle Creek, CA)"	(209) 555-0100	Unit 134	1204 Grgic Lane
DCEA8AAD-C915-4E69-95A0-55D9A1366EE8	CB67C105-1BCB-4A21-A746-BACD18275AB9	2022-10-29 15:45:15.6200000	23688.11	NULL	System Generated	ABE-0052	2022-10-29 15:45:15.6200000	"Tailspin Toys (New Baden, IL)"	(217) 555-0100	Unit 7	98 Cetinkaya Street
28605F5E-B472-4155-97AA-5683ABC8BE9E	8FEF7D2D-AFCB-4F9E-92F4-EE50FCA6F053	2022-10-30 10:06:14.2800000	11578.77	NULL	System Generated	ADE-0042	2022-10-30 10:06:14.2800000	"Tailspin Toys (Good Hart, MI)"	(231) 555-0100	Shop 80	2001 Rajanala Road
10B1506B-DC9F-4A46-885A-58245CAEF4E4	F7962E21-66A0-4CEF-8467-BCE9DDFF860F	2022-10-20 10:20:11.9866667	10943.37	NULL	System Generated	BBA-0065	2022-10-20 10:20:11.9866667	"Tailspin Toys (Cortaro, AZ)"	(480) 555-0100	Suite 231	1809 Ioveanu Lane
02155135-DD4B-4BA1-8989-59026925FA15	F530D29E-EC53-4068-98DC-52DFE8E8323E	2022-10-26 12:31:14.8033333	12827.55	NULL	System Generated	DCA-0025	2022-10-26 12:31:14.8033333	"Tailspin Toys (Cokato, MN)"	(218) 555-0100	Shop 194	591 Avotina Road
FDE03874-0489-4507-9771-5A78EF69EBE1	4A8B6BF2-F1A6-425D-B2F5-648AA32EAB29	2022-10-17 14:47:25.9866667	19710.75	NULL	System Generated	EDE-0062	2022-10-17 14:47:25.9866667	"Tailspin Toys (Indios, PR)"	(787) 555-0100	Unit 50	519 Jogi Street
2302475E-1ABC-4B31-9F5E-5B5197761C65	ED69D040-8530-47E6-A2C2-3877C2354BCF	2022-10-14 15:19:25.6666667	10803.71	NULL	System Generated	EDA-0014	2022-10-14 15:19:25.6666667	"Tailspin Toys (Windsor Locks, CT)"	(203) 555-0100	Unit 276	605 Prieditis Lane
B3BED658-9F53-4BE2-8925-5C8287F39D53	E4536CD2-A507-46C1-9AC6-7E70D01D61F3	2022-10-23 13:50:11.7166667	16592.66	NULL	System Generated	CCD-0054	2022-10-23 13:50:11.7166667	"Tailspin Toys (Yewed, OK)"	(405) 555-0100	Unit 266	210 safranek Lane
E3BA371F-1682-4E34-AAF5-5F2BBEAF07BE	3689C415-FD0D-4337-A6FF-B39A221F9E61	2022-10-20 17:32:11.9133333	16117.53	NULL	System Generated	CBB-0075	2022-10-20 17:32:11.9133333	"Tailspin Toys (Hahira, GA)"	(229) 555-0100	Unit 176	1675 Ribeiro Street
1CC09946-3D9C-46C4-A935-62B332ABE4B0	32C8CFE3-D9D6-432B-9CC1-AF0C9F9DD168	2022-10-18 10:11:10.5866667	17335.86	NULL	System Generated	DCD-0076	2022-10-18 10:11:10.5866667	"Tailspin Toys (Sekiu, WA)"	(206) 555-0100	Suite 54	1302 Jaunzems Lane
25251059-A792-465F-90DE-62EC77550BEC	2D18E52D-CC2B-4E80-905F-4846CC5A7096	2022-10-16 16:17:26.3833333	12402.89	NULL	System Generated	DAE-0093	2022-10-16 16:17:26.3833333	"Tailspin Toys (Page City, KS)"	(316) 555-0100	Suite 4	1000 Sykorova Boulevard
88EBAC89-3DCF-4641-A771-63EC52DCCC0D	C16CEFC8-1561-4449-969E-28554E437CE4	2022-10-22 11:39:19.7600000	10907.81	NULL	System Generated	ECB-0005	2022-10-22 11:39:19.7600000	"Tailspin Toys (Valdese, NC)"	(252) 555-0100	Suite 127	199 Das Street
EF46C78B-017C-4EB7-B1C4-646A19B4E6EB	142F6D60-66C2-49F9-860D-82475E98380D	2022-10-18 11:44:10.5766667	16311.16	NULL	System Generated	BDC-0046	2022-10-18 11:44:10.5766667	"Tailspin Toys (Big Moose, NY)"	(212) 555-0100	Suite 157	274 Poddar Lane
BD8A2D3E-236D-474E-B5F8-64ACEE8FF3E8	F0EC1412-2E01-446D-91C7-4A4FE40AB593	2022-10-19 09:39:10.7400000	24336.73	NULL	System Generated	ABA-0010	2022-10-19 09:39:10.7400000	"Tailspin Toys (La Cueva, NM)"	(505) 555-0100	Suite 166	1708 Ankitham Street
C2C735AC-8FC4-423D-A738-66233C0663C4	25F6C4E5-1073-4910-B4EB-A6618C9D456C	2022-10-24 10:31:11.8633333	16621.31	NULL	System Generated	BBA-0083	2022-10-24 10:31:11.8633333	"Tailspin Toys (Absecon, NJ)"	(201) 555-0100	Unit 148	1161 Chang Lane
77FB3390-9D44-48A8-87C2-67A39A1EAD76	CE8ADF2C-693A-4F72-AE79-B1AB4B38DC0A	2022-10-18 17:21:10.5966667	18964.74	NULL	System Generated	DAA-0038	2022-10-18 17:21:10.5966667	"Tailspin Toys (Aceitunas, PR)"	(787) 555-0100	Suite 243	328 Bhat Street
FC721040-D548-4E83-A8C8-67DBAEA7C81E	160309CD-0155-4B6E-BCC3-7004323D38A3	2022-10-29 15:30:15.5266667	14101.13	NULL	System Generated	DAA-0029	2022-10-29 15:30:15.5266667	"Tailspin Toys (Andrix, CO)"	(303) 555-0100	Shop 173	1155 Antunes Crescent
66451235-0CEF-4217-849B-69890B8326A0	C0F22720-24D2-465D-85AE-B6FDFF98DBE4	2022-10-20 17:48:11.9333333	23264.01	NULL	System Generated	EBD-0072	2022-10-20 17:48:11.9333333	"Tailspin Toys (New Lexington, OH)"	(216) 555-0100	Unit 102	902 Ganguly Street
4A23AE5D-EF6C-429A-AF6B-6A5C900B48F2	1B3F6BF4-0B53-4D38-9120-961842F037E0	2022-10-24 18:21:11.8500000	18857.61	NULL	System Generated	EED-0038	2022-10-24 18:21:11.8500000	"Tailspin Toys (Sauquoit, NY)"	(212) 555-0100	Shop 282	1484 Wintle Lane
