Ord	ODate	wt	TotalValue	ProductName	ProductNumber	color	StandardCost	size	Weight	CreatedBy	EnteredOn	SEntityName	SPNo	SFax	SUrl	sLine1	SLine2	REntityName	RPNo	RFax	RUrl	RLine1	RLine2	SCity	OBranch	DCity	DBranch
DD4FF5F8-D6F3-4EC9-B0E0-22078C6219A0	2023-05-19 21:39:01.6200000	953.73	950924.61	Paint - Blue	PA-632U	NULL	0	NULL	NULL	System Generated	2023-05-19 21:39:01.6200000	"Tailspin Toys (Gasport, NY)"	(212) 555-0100	(212) 555-0101	http://www.tailspintoys.com/Gasport	Unit 176	1674 Skujins Boulevard	"Wingtip Toys (Highland Home, AL)"	(205) 555-0100	(205) 555-0101	http://www.wingtiptoys.com/HighlandHome	Unit 17	1985 Flamand Lane	Hajipur	Bihar	Pipariya	Madhya Pradesh
F72EF10F-79E7-476E-96EB-4266403078E1	2022-12-25 18:27:17.1866667	985.72	163056.33	Internal Lock Washer 2	LI-8000	NULL	0	NULL	NULL	System Generated	2022-12-25 18:27:17.1866667	"Tailspin Toys (Jessie, ND)"	(701) 555-0100	(701) 555-0101	http://www.tailspintoys.com/Jessie	Shop 196	483 Raut Lane	"Wingtip Toys (Gargatha, VA)"	(276) 555-0100	(276) 555-0101	http://www.wingtiptoys.com/Gargatha	Shop 233	1362 Gajula Road	Khair	Uttar Pradesh	Bhatapara	Chhattisgarh
2D75C662-3E26-4555-86E4-7987BFF3F1A1	2022-10-17 12:14:25.8433333	967.66	778405.27	LL Crankarm	CA-5965	Black	0	NULL	NULL	System Generated	2022-10-17 12:14:25.8433333	"Tailspin Toys (Jessie, ND)"	(701) 555-0100	(701) 555-0101	http://www.tailspintoys.com/Jessie	Shop 196	483 Raut Lane	"Tailspin Toys (North Crows Nest, IN)"	(219) 555-0100	(219) 555-0101	http://www.tailspintoys.com/NorthCrowsNest	Suite 73	1191 Min Avenue	Kalyan-Dombivali	Maharashtra	Nohar	Rajasthan
A90FD050-F854-4A5F-AE47-523A88B090EE	2023-03-04 13:53:21.2800000	950.57	861565.90	HL Mountain Rim	RM-M823	NULL	0	NULL	400.00	System Generated	2023-03-04 13:53:21.2800000	"Tailspin Toys (Jessie, ND)"	(701) 555-0100	(701) 555-0101	http://www.tailspintoys.com/Jessie	Shop 196	483 Raut Lane	"Wingtip Toys (Amado, AZ)"	(480) 555-0100	(480) 555-0101	http://www.wingtiptoys.com/Amado	Unit 175	593 Mokkapati Road	Tasgaon	Maharashtra	Katihar	Bihar
1CD14A58-059B-429D-AAC1-EB8F672D156F	2024-02-16 21:20:01.5400000	800.84	673761.03	"Road-450 Red, 58"	BK-R68R-58	Red	884.708312988281	58	17.79	System Generated	2024-02-16 21:20:01.5400000	"Tailspin Toys (Jessie, ND)"	(701) 555-0100	(701) 555-0101	http://www.tailspintoys.com/Jessie	Shop 196	483 Raut Lane	Valter Viiding	(216) 555-0100	(216) 555-0101	http://www.microsoft.com/ValterViiding/	Suite 10	129 Jo Road	Nasirabad	Rajasthan	Siruguppa	Karnataka
6E346627-B77A-4F56-AC16-D939334D0818	2022-10-26 18:37:14.7533333	951.63	644353.81	"Road-250 Red, 44"	BK-R89R-44	Red	1518.78637695313	44	14.77	System Generated	2022-10-26 18:37:14.7533333	"Tailspin Toys (Jessie, ND)"	(701) 555-0100	(701) 555-0101	http://www.tailspintoys.com/Jessie	Shop 196	483 Raut Lane	Melani Ravlen	(405) 555-0100	(405) 555-0101	http://www.microsoft.com/MelaniRavlen/	Unit 7	340 Lucchesi Street	Barbil	Odisha	Ponnur	Andhra Pradesh
9E32DD8B-2EB8-4AD8-9F59-018BF6A16D62	2023-02-17 10:34:19.0433333	926.53	326965.24	HL Road Tire	TI-R982	NULL	12.1923999786377	NULL	NULL	System Generated	2023-02-17 10:34:19.0433333	"Tailspin Toys (Jessie, ND)"	(701) 555-0100	(701) 555-0101	http://www.tailspintoys.com/Jessie	Shop 196	483 Raut Lane	"Wingtip Toys (Dickerson, MD)"	(240) 555-0100	(240) 555-0101	http://www.wingtiptoys.com/Dickerson	Unit 116	1760 Gummadi Road	Karnal	Haryana	Tiruttani	Tamil Nadu
9C1A8DE4-A49A-49DC-AE1C-06CD9EC8CB9C	2023-01-10 11:10:17.6933333	852.32	269444.74	Mountain Bottle Cage	BC-M005	NULL	3.73629999160767	NULL	NULL	System Generated	2023-01-10 11:10:17.6933333	"Tailspin Toys (Jessie, ND)"	(701) 555-0100	(701) 555-0101	http://www.tailspintoys.com/Jessie	Shop 196	483 Raut Lane	"Wingtip Toys (Montoya, NM)"	(505) 555-0100	(505) 555-0101	http://www.wingtiptoys.com/Montoya	Shop 299	780 Rusl Boulevard	Shahade	Maharashtra	Parasi	Uttar Pradesh
8289C98D-8A86-49B8-B85A-7ABA7E253634	2022-12-18 17:29:17.4333333	925.14	418846.16	"Road-450 Red, 60"	BK-R68R-60	Red	884.708312988281	60	17.90	System Generated	2022-12-18 17:29:17.4333333	"Tailspin Toys (Frankewing, TN)"	(423) 555-0100	(423) 555-0101	http://www.tailspintoys.com/Frankewing	Shop 27	904 Kellnerova Street	Nichole  Deslauriers	(605) 555-0100	(605) 555-0101	http://www.microsoft.com/	Unit 26	399 Martina Street	Rawatsar	Rajasthan	Ludhiana	Punjab
9F983DDA-BC37-4728-988C-38F78D55C732	2022-12-11 17:50:17.2100000	876.47	781598.82	LL Touring Seat Assembly	SA-T467	NULL	98.7699966430664	NULL	NULL	System Generated	2022-12-11 17:50:17.2100000	"Tailspin Toys (Frankewing, TN)"	(423) 555-0100	(423) 555-0101	http://www.tailspintoys.com/Frankewing	Shop 27	904 Kellnerova Street	Kumar Kamei	(304) 555-0100	(304) 555-0101	http://www.microsoft.com/KumarKamei/	Suite 25	1742 Valbe Avenue	Goalpara	Assam	Sandila	Uttar Pradesh
3E468689-61F8-46A2-B839-C4A9AC29A655	2022-12-12 09:44:17.2766667	955.85	715027.81	ML Touring Seat Assembly	SA-T612	NULL	108.98999786377	NULL	NULL	System Generated	2022-12-12 09:44:17.2766667	"Tailspin Toys (Frankewing, TN)"	(423) 555-0100	(423) 555-0101	http://www.tailspintoys.com/Frankewing	Shop 27	904 Kellnerova Street	Bala Dixit	(209) 555-0100	(209) 555-0101	http://www.microsoft.com/BalaDixit/	Unit 7	844 Magnusson Lane	Madanapalle	Andhra Pradesh	Chirmiri	Chhattisgarh
99B69C40-3DDC-4655-9B8A-B3DAB218B1E4	2022-10-25 16:18:12.2733333	870.60	777540.18	ML Grip Tape	GT-1209	NULL	0	NULL	NULL	System Generated	2022-10-25 16:18:12.2733333	"Tailspin Toys (Frankewing, TN)"	(423) 555-0100	(423) 555-0101	http://www.tailspintoys.com/Frankewing	Shop 27	904 Kellnerova Street	Geza Roman	(215) 555-0100	(215) 555-0101	http://www.microsoft.com/GezaRoman/	Suite 24	368 Tatarescu Street	Giridih	Jharkhand	Karwar	Karnataka
4947C14B-65C4-4D00-9AA1-48EF40E8F3BB	2023-03-24 17:19:23.0500000	863.31	297411.42	Lock Washer 4	LW-1000	NULL	0	NULL	NULL	System Generated	2023-03-24 17:19:23.0500000	"Tailspin Toys (Bow Mar, CO)"	(303) 555-0100	(303) 555-0101	http://www.tailspintoys.com/BowMar	Shop 282	752 Shaker Doust Boulevard	"Wingtip Toys (Philip, SD)"	(605) 555-0100	(605) 555-0101	http://www.wingtiptoys.com/Philip	Suite 115	761 Kellnerova Avenue	Tindivanam	Tamil Nadu	Uran Islampur	Maharashtra
34AEA130-DF04-4D5D-88A1-0F72A3BB3919	2023-12-02 18:43:36.9600000	979.03	407470.58	"Mountain-300 Black, 38"	BK-M47B-38	Black	598.435424804688	38	25.35	System Generated	2023-12-02 18:43:36.9600000	"Tailspin Toys (Bow Mar, CO)"	(303) 555-0100	(303) 555-0101	http://www.tailspintoys.com/BowMar	Shop 282	752 Shaker Doust Boulevard	Dinh Mai	(210) 555-0100	(210) 555-0101	http://www.microsoft.com/	Suite 22	1787 Hele Avenue	Anakapalle	Andhra Pradesh	Paravoor	Kerala
1028177F-30D9-48F3-96EF-DD006404DFE0	2024-01-24 20:25:01.1266667	935.03	583379.42	ML Mountain Rim	RM-M692	NULL	0	NULL	450.00	System Generated	2024-01-24 20:25:01.1266667	"Tailspin Toys (Netcong, NJ)"	(201) 555-0100	(201) 555-0101	http://www.tailspintoys.com/Netcong	Shop 33	25 Kasesalu Street	Gadhar Das	(217) 555-0100	(217) 555-0101	http://www.microsoft.com/	Suite 25	1122 Constanza Street	Nawanshahr	Punjab	Baramula	Jammu and Kashmir
ED69D040-8530-47E6-A2C2-3877C2354BCF	2022-10-11 04:00:15.9866667	835.53	756190.63	"LL Road Frame - Red, 58"	FR-R38R-58	Red	187.157104492188	58	2.46	System Generated	2022-10-11 04:00:15.9866667	"Tailspin Toys (Netcong, NJ)"	(201) 555-0100	(201) 555-0101	http://www.tailspintoys.com/Netcong	Shop 33	25 Kasesalu Street	"Tailspin Toys (Orrtanna, PA)"	(215) 555-0100	(215) 555-0101	http://www.tailspintoys.com/Orrtanna	Suite 93	185 Saikkonen Avenue	Adityapur	Jharkhand	Shahpura	Rajasthan
ED69D040-8530-47E6-A2C2-3877C2354BCF	2022-10-11 04:00:15.9866667	835.53	756190.63	"LL Road Frame - Red, 58"	FR-R38R-58	Red	187.157104492188	58	2.46	System Generated	2022-10-11 04:00:15.9866667	"Tailspin Toys (Netcong, NJ)"	(201) 555-0100	(201) 555-0101	http://www.tailspintoys.com/Netcong	Shop 33	25 Kasesalu Street	"Tailspin Toys (Orrtanna, PA)"	(215) 555-0100	(215) 555-0101	http://www.tailspintoys.com/Orrtanna	Suite 93	185 Saikkonen Avenue	Adityapur	Jharkhand	Shahpura	Rajasthan
40FB7C95-6C87-4924-9296-C5375A93C3D4	2022-12-02 12:45:17.2833333	803.57	595889.40	"ML Road Frame - Red, 44"	FR-R72R-44	Red	352.139404296875	44	2.22	System Generated	2022-12-02 12:45:17.2833333	"Tailspin Toys (Netcong, NJ)"	(201) 555-0100	(201) 555-0101	http://www.tailspintoys.com/Netcong	Shop 33	25 Kasesalu Street	"Wingtip Toys (Edmund, WI)"	(262) 555-0100	(262) 555-0101	http://www.wingtiptoys.com/Edmund	Suite 96	910 Hrdlickova Crescent	Mudalagi	Karnataka	Panagudi	Tamil Nadu
7E9E2D59-2288-4491-90A6-F54A44315434	2022-12-02 12:56:17.2700000	911.86	966121.31	Internal Lock Washer 1	LI-6000	NULL	0	NULL	NULL	System Generated	2022-12-02 12:56:17.2700000	"Tailspin Toys (Netcong, NJ)"	(201) 555-0100	(201) 555-0101	http://www.tailspintoys.com/Netcong	Shop 33	25 Kasesalu Street	Nasrin Omidzadeh	(239) 555-0100	(239) 555-0101	http://www.microsoft.com/NasrinOmidzadeh/	Suite 12	588 Cirulis Lane	Sheikhpura	Bihar	Mangaldoi	Assam
4C9684BD-F273-4D45-A2FF-A7151577FEC7	2023-11-28 21:35:00.2400000	979.05	653811.47	"Classic Vest, M"	VE-C304-M	Blue	23.7490005493164	M	NULL	System Generated	2023-11-28 21:35:00.2400000	"Tailspin Toys (Netcong, NJ)"	(201) 555-0100	(201) 555-0101	http://www.tailspintoys.com/Netcong	Shop 33	25 Kasesalu Street	Katarina Filipovic	(505) 555-0100	(505) 555-0101	http://www.microsoft.com/	Unit 29	412 Konrads Lane	Mancherial	Telangana	Amalapuram	Andhra Pradesh
406ECBA5-E00F-4C76-91E2-7889DEACBD18	2023-12-21 18:09:01.1600000	985.05	735393.64	LL Road Seat/Saddle	SE-R581	NULL	12.0412998199463	NULL	NULL	System Generated	2023-12-21 18:09:01.1600000	"Tailspin Toys (Netcong, NJ)"	(201) 555-0100	(201) 555-0101	http://www.tailspintoys.com/Netcong	Shop 33	25 Kasesalu Street	"Tailspin Toys (Glen Park, NY)"	(212) 555-0100	(212) 555-0101	http://www.tailspintoys.com/GlenPark	Unit 69	1219 Van Groesen Avenue	Mungeli	Chhattisgarh	Paravoor	Kerala
4DFB5F4E-4FCF-4FCC-B98C-BD299686F323	2022-11-30 15:38:15.7933333	979.55	956855.29	"Women's Tights, M"	TG-W091-M	Black	30.9333992004395	M	NULL	System Generated	2022-11-30 15:38:15.7933333	"Tailspin Toys (Wimbledon, ND)"	(701) 555-0100	(701) 555-0101	http://www.tailspintoys.com/Wimbledon	Unit 67	372 Joo Lane	"Wingtip Toys (Necedah, WI)"	(262) 555-0100	(262) 555-0101	http://www.wingtiptoys.com/Necedah	Unit 41	1732 Diaz Road	Songadh	Gujarat	Pathri	Maharashtra
CC31862B-7E8A-4AEF-B6EA-4799D6426ADF	2023-05-12 15:51:01.6900000	839.09	516297.73	"LL Mountain Frame - Black, 40"	FR-M21B-40	Black	136.785003662109	40	2.88	System Generated	2023-05-12 15:51:01.6900000	"Tailspin Toys (Wimbledon, ND)"	(701) 555-0100	(701) 555-0101	http://www.tailspintoys.com/Wimbledon	Unit 67	372 Joo Lane	"Wingtip Toys (Taft Heights, CA)"	(209) 555-0100	(209) 555-0101	http://www.wingtiptoys.com/TaftHeights	Shop 121	1772 Fallaci Crescent	Palampur	Himachal Pradesh	Bhopal	Madhya Pradesh
A4E4DABF-C3D1-4612-94FB-F9445BC8A454	2024-01-15 15:45:00.5066667	875.40	564018.86	HL Bottom Bracket	BB-9108	NULL	53.9416007995605	NULL	170.00	System Generated	2024-01-15 15:45:00.5066667	"Tailspin Toys (Wimbledon, ND)"	(701) 555-0100	(701) 555-0101	http://www.tailspintoys.com/Wimbledon	Unit 67	372 Joo Lane	Yves Belisle	(480) 555-0100	(480) 555-0101	http://www.microsoft.com/YvesBelisle/	Unit 22	1530 Ngo Boulevard	Mahe	Puducherry	Tirur	Kerala
E8BFE143-A939-46C9-8E78-F7B8572BC604	2023-05-12 21:48:01.6800000	885.74	582253.26	Lock Nut 23	LN-3416	NULL	0	NULL	NULL	System Generated	2023-05-12 21:48:01.6800000	"Tailspin Toys (Wimbledon, ND)"	(701) 555-0100	(701) 555-0101	http://www.tailspintoys.com/Wimbledon	Unit 67	372 Joo Lane	Be Trang	(405) 555-0100	(405) 555-0101	http://www.microsoft.com/BeTrang/	Unit 26	33 Rezaei Boulevard	Paramakudi	Tamil Nadu	Rajnandgaon	Chhattisgarh
E747AEAB-9A16-408F-8770-7019B44A5F18	2022-12-25 12:11:17.0500000	975.54	567989.20	Thin-Jam Hex Nut 10	HJ-1220	NULL	0	NULL	NULL	System Generated	2022-12-25 12:11:17.0500000	"Tailspin Toys (Wimbledon, ND)"	(701) 555-0100	(701) 555-0101	http://www.tailspintoys.com/Wimbledon	Unit 67	372 Joo Lane	Miriam House	(701) 555-0100	(701) 555-0101	http://www.microsoft.com/MiriamHouse/	Shop 18	604 Klaus Street	Lakshmeshwar	Karnataka	Panamattom	Kerala
